2026-03-09 16:44:31,AL,53400,12
2026-03-09 16:31:08,AL,21950,5
2026-03-09 13:53:23,AL,15700,5
2026-03-08 22:17:12,AL,12300,5
2026-03-08 22:13:38,AL,1900,3
2026-03-08 22:34:00,AL,900,2
2026-03-08 22:14:39,AL,300,2
2026-03-09 11:29:20,AL,250,1
2026-03-08 21:59:45,AL,150,1
2026-03-08 21:59:33,AL,50,1
2026-03-08 22:28:44,AL,50,1
2026-03-08 21:59:16,AL,0,1
2026-03-08 21:59:23,AL,0,1
2026-03-08 22:15:12,AL,0,1
2026-03-09 12:35:12,AL,0,1
2026-03-09 12:45:03,AL,0,1
2026-03-09 21:27:38,AL,0,1
2026-03-10 00:36:04,AL,0,1
2026-03-10 00:55:16,AL,0,5
